Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,405.1865539550781,407.7923889160156,403.97503662109375,405.9179992675781,382.8121337890625,1481821
2015-01-02,406.0094299316406,409.6439208984375,404.272216796875,404.8436584472656,381.7989807128906,3665683
2015-01-05,404.59222412109375,407.2895202636719,399.6091003417969,400.4091491699219,377.6168518066406,5051970
2015-01-06,397.7347412109375,399.1062316894531,380.3623962402344,382.2367858886719,360.47894287109375,9313990
2015-01-07,382.6939697265625,392.6144714355469,382.64825439453125,390.5572204589844,368.32574462890625,10360156
2015-01-08,393.2087707519531,394.4888610839844,384.08831787109375,384.9569396972656,363.04425048828125,9936113
2015-01-09,387.85992431640625,394.077392578125,386.3055725097656,393.30023193359375,370.9126281738281,6696393
2015-01-12,393.39166259765625,393.6202392578125,384.751220703125,388.7285461425781,366.60113525390625,5050056
2015-01-13,389.962890625,390.8543701171875,384.2483215332031,385.4598083496094,363.5184631347656,4974355
2015-01-14,385.3912353515625,387.21990966796875,379.9966735839844,381.7110595703125,359.9831848144531,5690020
2015-01-15,384.0197448730469,398.23760986328125,384.0197448730469,395.10601806640625,372.6156311035156,8463542
2015-01-16,393.1630554199219,400.02056884765625,389.5285949707031,397.59759521484375,374.96533203125,9568481
2015-01-19,397.826171875,405.04937744140625,392.59161376953125,402.1463928222656,379.2552185058594,6669981
2015-01-20,402.9921569824219,413.98699951171875,401.7806396484375,412.8440856933594,389.3439636230469,6680660
2015-01-21,413.7355651855469,416.6614074707031,407.81524658203125,414.53558349609375,390.9392395019531,8542148
2015-01-22,413.80413818359375,414.7413330078125,402.07781982421875,404.0207824707031,381.0229187011719,11860813
2015-01-23,406.8780517578125,410.4439697265625,400.9349060058594,405.4608459472656,382.3810119628906,9040247
2015-01-27,408.2038269042969,409.9410705566406,402.53497314453125,406.4437561035156,383.3080139160156,8969938
2015-01-28,405.0951232910156,415.9299621582031,405.0951232910156,414.581298828125,390.9823303222656,9649063
2015-01-29,414.69561767578125,427.2219543457031,414.6041564941406,424.8904113769531,400.70458984375,18058826
2015-01-30,425.1647033691406,425.7361755371094,415.564208984375,418.4215087890625,394.60394287109375,10873400
2015-02-02,418.7872314453125,420.5473327636719,414.0555725097656,415.1299133300781,391.4996643066406,9651355
2015-02-03,417.48431396484375,430.1249694824219,417.48431396484375,428.6391906738281,404.2400207519531,8546166
2015-02-04,429.3249206542969,431.4736022949219,423.29034423828125,424.6161193847656,400.4459533691406,7036447
2015-02-05,427.90771484375,429.690673828125,419.495849609375,422.2845764160156,398.24713134765625,6182821
2015-02-06,422.4674377441406,425.1647033691406,412.82122802734375,415.9756774902344,392.29736328125,4522922
2015-02-09,411.9983215332031,419.6787109375,407.7923889160156,409.9410705566406,386.6062316894531,4419846
2015-02-10,410.535400390625,413.5069580078125,393.75738525390625,403.2207336425781,380.2684326171875,6825504
2015-02-11,405.04937744140625,413.62127685546875,403.6778869628906,411.7697448730469,388.330810546875,4890504
2015-02-12,415.1070556640625,417.8271789550781,405.620849609375,415.6327819824219,391.97393798828125,4354813
2015-02-13,417.85003662109375,420.9587707519531,415.5870666503906,419.45013427734375,395.57403564453125,3696840
2015-02-16,419.99871826171875,422.5131530761719,411.44970703125,412.72979736328125,389.2362060546875,6133349
2015-02-18,411.44970703125,415.1070556640625,408.88958740234375,412.20404052734375,388.74041748046875,4917518
2015-02-19,414.62701416015625,414.9241943359375,405.75799560546875,412.38690185546875,388.912841796875,4775318
2015-02-20,409.2781677246094,409.6210632324219,398.32904052734375,399.1519470214844,376.4313049316406,9358599
2015-02-23,397.7118835449219,400.82061767578125,387.265625,389.2543029785156,367.0970153808594,7052231
2015-02-24,390.53436279296875,391.70013427734375,382.64825439453125,384.6826171875,362.7855529785156,9973109
2015-02-25,388.0428161621094,391.56298828125,384.499755859375,385.4598083496094,363.5184631347656,7637058
2015-02-26,386.8084411621094,388.5914001464844,382.4653625488281,384.93408203125,363.022705078125,10729875
2015-02-27,387.4713439941406,393.6202392578125,386.1227111816406,391.128662109375,368.86468505859375,9329689
2015-03-02,397.2775573730469,400.2491455078125,391.128662109375,395.10601806640625,372.6156311035156,7289755
2015-03-03,397.2775573730469,414.3984375,396.5461120605469,411.8154602050781,388.37396240234375,10318462
2015-03-04,414.1927185058594,415.86138916015625,402.3292541503906,405.8951416015625,382.7906494140625,7238023
2015-03-05,408.0209655761719,410.8782653808594,401.46063232421875,404.5693664550781,381.5403137207031,5358351
2015-03-09,404.637939453125,407.6781005859375,395.060302734375,397.57470703125,374.9438171386719,7032695
2015-03-10,397.25469970703125,400.38629150390625,391.0600891113281,392.77447509765625,370.4167785644531,7617030
2015-03-11,393.5973815917969,397.5518493652344,389.6885986328125,391.3115539550781,369.03717041015625,5817936
2015-03-12,392.2487487792969,396.5461120605469,391.1515197753906,394.9002990722656,372.421630859375,5891190
